"id"|"status"|"company_parking_lot_id"|"cms_created"|"cms_updated"
"143962"|"occupied"|"80"|"2019-01-31 11:37:06"|"2019-01-31 11:37:06"
"143963"|"occupied"|"48"|"2019-01-31 11:43:06"|"2019-01-31 11:43:06"
"143964"|"free"|"71"|"2019-01-31 11:44:06"|"2019-01-31 11:44:06"
"143965"|"free"|"44"|"2019-01-31 12:03:05"|"2019-01-31 12:03:05"
"143966"|"occupied"|"46"|"2019-01-31 12:05:05"|"2019-01-31 12:05:05"
"143967"|"free"|"88"|"2019-01-31 12:07:06"|"2019-01-31 12:07:06"
"143968"|"occupied"|"44"|"2019-01-31 12:16:05"|"2019-01-31 12:16:05"
"143971"|"occupied"|"74"|"2019-01-31 12:53:06"|"2019-01-31 12:53:06"
"143972"|"free"|"32"|"2019-01-31 12:57:07"|"2019-01-31 12:57:07"
"143973"|"occupied"|"50"|"2019-01-31 13:14:07"|"2019-01-31 13:14:07"
"143974"|"free"|"44"|"2019-01-31 13:35:06"|"2019-01-31 13:35:06"
"143975"|"free"|"38"|"2019-01-31 13:37:04"|"2019-01-31 13:37:04"
"143976"|"free"|"64"|"2019-01-31 13:38:08"|"2019-01-31 13:38:08"
"143977"|"occupied"|"32"|"2019-01-31 13:42:05"|"2019-01-31 13:42:05"
"143978"|"occupied"|"44"|"2019-01-31 13:46:06"|"2019-01-31 13:46:06"
"143979"|"occupied"|"8"|"2019-01-31 13:47:05"|"2019-01-31 13:47:05"
"143980"|"free"|"4"|"2019-01-31 14:08:05"|"2019-01-31 14:08:05"
"143981"|"free"|"7"|"2019-01-31 14:14:05"|"2019-01-31 14:14:05"
"143982"|"occupied"|"38"|"2019-01-31 14:46:06"|"2019-01-31 14:46:06"
"143983"|"occupied"|"88"|"2019-01-31 14:47:07"|"2019-01-31 14:47:07"
"143984"|"free"|"12"|"2019-01-31 14:51:06"|"2019-01-31 14:51:06"
"143985"|"free"|"84"|"2019-01-31 14:58:06"|"2019-01-31 14:58:06"
"143986"|"free"|"32"|"2019-01-31 15:04:09"|"2019-01-31 15:04:09"
"143987"|"free"|"74"|"2019-01-31 15:06:08"|"2019-01-31 15:06:08"
"143988"|"free"|"77"|"2019-01-31 15:10:07"|"2019-01-31 15:10:07"
"143989"|"free"|"15"|"2019-01-31 15:21:05"|"2019-01-31 15:21:05"
"143990"|"free"|"40"|"2019-01-31 15:22:08"|"2019-01-31 15:22:08"
"143991"|"free"|"43"|"2019-01-31 15:26:04"|"2019-01-31 15:26:04"
"143992"|"free"|"42"|"2019-01-31 15:30:08"|"2019-01-31 15:30:08"
"143993"|"occupied"|"32"|"2019-01-31 15:35:06"|"2019-01-31 15:35:06"
"143994"|"free"|"32"|"2019-01-31 15:36:06"|"2019-01-31 15:36:06"
"143995"|"free"|"50"|"2019-01-31 15:37:06"|"2019-01-31 15:37:06"
"143996"|"free"|"88"|"2019-01-31 15:37:06"|"2019-01-31 15:37:06"
"143997"|"occupied"|"29"|"2019-01-31 15:44:06"|"2019-01-31 15:44:06"
"143998"|"free"|"41"|"2019-01-31 15:45:08"|"2019-01-31 15:45:08"
"143999"|"occupied"|"7"|"2019-01-31 15:48:03"|"2019-01-31 15:48:03"
"144000"|"free"|"7"|"2019-01-31 15:49:04"|"2019-01-31 15:49:04"
"144001"|"free"|"8"|"2019-01-31 15:49:04"|"2019-01-31 15:49:04"
